0,p<0.05,p<0.05(-),p<0.05(+),p<0.01,p<0.01(-),p<0.01(+)
#total_events,1,-0,+1,9,-0,+9
#events,2,-0,+2,5,-0,+5
#traces,2,-0,+2,9,-0,+9
min_trace,6,-0,+6,0,-0,+0
max_trace,2,-0,+2,0,-0,+0
avg_trace,3,-0,+3,0,-0,+0
l_detail,3,-0,+3,0,-0,+0
lz_compl,1,-0,+1,8,-0,+8
unique_t,4,-0,+4,14,-14,+0
struc,2,-0,+2,11,-0,+11
avg_aff,2,-0,+2,9,-0,+9
dev_rand,2,-0,+2,6,-6,+0
#ties,2,-0,+2,6,-0,+6
var_ent,10,-0,+10,1,-0,+1
nvar_ent,3,-0,+3,3,-0,+3
seq_ent,0,-0,+0,8,-0,+8
nseq_ent,2,-0,+2,8,-8,+0
