-,-,-,-,30092,32,1024,20,78,29.38671875,22.8837890625,9541,100.0,0.1826171875,0.041143384499929915,0.9488610754284106,300M92,192934.06216458455,0.6726659176475555,206024.42710483263,0.6639328258017025,44.47579002380371
lölö

-,-,-,-,12593,43,1000,4,33,12.593,12.334,3523,27.3,0.826392644672796,0.22369273693044894,0.8730994427573121,5749,20700.111737438718,0.6651878437010333,57442.73833742201,0.48316192218532983,4.39105749130249

-,-,-,-,12635,43,1000,3,33,12.635,12.256,3504,30.7,0.8702001081665766,0.2311353388524166,0.8726143114034112,6027,20271.770150076452,0.6715257799094988,57043.09382354908,0.478036935652952,5.359066724777222
-,-,-,-,448,8,64,7,7,7,7,169,100.0,0.15625,0.0724498385212661,0.9153745999517088,448,1502.2700068626223,0.7043733458479359,1817.6512141372082,0.664601898860448,0.04526042938232422
-,-,-,-,3584,16,256,14,14,14,14,1227,100.0,0.12890625,0.04220972532578826,0.9575651359521401,3584,17471.70481708362,0.6880829654501136,19619.2227443913,0.6688607597469495,1.1447749137878418
-,-,-,-,5536,16,256,7,127,21.625,10.71875,1600,66.796875,0.72265625,0.19694378491415235,0.8760078509327988,4941,21082.37963117339,0.574347339659174,26957.50013754993,0.5649698452997964,0.6350259780883789
-,-,-,-,53639,32,1024,14,377,52.3818359375,22.8779296875,12440,50.09765625,0.91796875,0.5337726076238585,0.8584279111221313,45012,237288.15577164374,0.5709644756088866,303623.48317884345,0.5197871536071464,14.095865964889526
-,-,-,-,42,8,6,5,13,7,5.5,24,100.0,0.75,0.1696921596921597,0.7368431205347721,42,47.49231053007598,0.48634452184559795,64.50797630666368,0.41092561800128136,0.39760351181030273
-,-,-,-,697,29,20,26,59,34.85,26.15,266,100.0,0.8370986920332937,0.371049309997111,0.8658676611043955,697,1926.143594294419,0.457512811750514,2056.740926561478,0.450732325736814,0.30524182319641113
-,-,-,-,16000,20,1000,16,16,16,16,3921,97.3,0.5349999999999999,0.17153629109631252,0.877455495612592,15568,43885.02491269883,0.77632102783138,92167.55948531053,0.5950689838196641,20.31799554824829
-,-,-,-,13710,9,3804,1,14,3.6041009463722395,3.182702418506835,2365,4.048370136698212,0.5925925925925926,0.5783336081742407,0.5142911262125125,808,1738.1791723899582,0.7820486436639214,26540.47086433052,0.20321980358487948,0.3737804889678955
-,-,-,-,21348,14,4580,2,15,4.661135371179039,4.245196506550219,3893,4.934497816593886,0.7091836734693877,0.6081536850550617,0.5688944619382772,1521,3724.970412871231,0.7991204049147201,54068.289744242174,0.2540658716935953,0.9070453643798828
-,-,-,-,15995,20,1000,15,17,15.995,15.921,4071,97.6,0.30000000000000004,0.1660734099283318,0.8804933873512665,15611,51887.81022188667,0.76058477031424,94884.60551448556,0.6128225582838137,21.04308009147644
