name,abbreviation,description,source,#total_events,#events,#traces,min_trace,max_trace,avg_trace,l_detail,lz_compl,unique_t,struc,avg_aff,dev_rand,#ties,var_ent,nvar_ent,seq_ent,nseq_ent,time,best,type
Process Discovery Contest 2021.0,Pdc_2021_10,Dataset for the Process Discovery Contest of 2021 (File 8);Process Discovery Contest of 2021,10.4121/16803232.v1,12734,43,1000,4,33,12.734,12.482,3366,17.7,0.9534883720930232,0.2556424678676608,0.868211165014998,4422,13466.188780565006,0.6485410351755516,52246.88899746911,0.4340806826055908,3.7461891174316406,LSTM_PREPAD_ONEHOT,LSTM
Process Discovery Contest 2021.0,Pdc_2021_13,Dataset for the Process Discovery Contest of 2021 (File 9);Process Discovery Contest of 2021,10.4121/16803232.v1,12593,43,1000,4,33,12.593,12.334,3523,27.3,0.826392644672796,0.2236927369304489,0.8730994427573121,5749,20700.11173743872,0.6651878437010333,57442.73833742201,0.4831619221853298,4.39105749130249,CNN_PREPAD_FREQBASED,CNN
Process Discovery Contest 2021.0,Pdc_2021_11,Dataset for the Process Discovery Contest of 2021 (File 10);Process Discovery Contest of 2021,10.4121/16803232.v1,12635,43,1000,3,33,12.635,12.256,3504,30.7,0.8702001081665766,0.2311353388524166,0.8726143114034112,6027,20271.77015007645,0.6715257799094988,57043.09382354908,0.478036935652952,5.359066724777222,CNN_PREPAD_ONEHOT,CNN
Sepsis Cases - Event Log,Sepsis_log,Real-life event log containing events of sepsis cases from a hospital recorded by the Enterprise Resource Planning of the hospital,10.4121/uuid:915d2bfb-7e84-49ad-a286-dc35f063a460,15214,16,1050,3,185,14.48952380952381,9.133333333333333,3115,80.57142857142857,0.55078125,0.2558004095407116,0.7874054734233625,12956,40624.49329803771,0.6957588422064969,76528.6794749776,0.5223430410751398,10.099471817016601,LSTM_PREPAD_EMBEDDED,LSTM
NASA Crew Exploration Vehicle (CEV) Software Event Log,Nasa_log,Event log obtained through instrumenting the NASA CEV class (reduced to completed events),10.4121/uuid:60383406-ffcd-441f-aa5e-4ec763426b76,36819,47,2566,6,25,14.348791893998442,13.521434138737334,5164,97.93452844894776,0.8519692168401992,0.2387710580249297,0.8321767417003039,34793,70610.0280895474,0.8388920073451864,177625.85971820715,0.4588553090994215,306.63339591026306,LSTM_PREPAD_ONEHOT,LSTM
Conformance Checking Challenge 2019 (CCC19),Ccc19_log,Training log about medical students learning how to install Central Venous Catheter (CVC) with ultrasound,10.4121/uuid:c923af09-ce93-44c3-ace0-c5508cf103ad,697,29,20,26,59,34.85,26.15,266,100.0,0.8370986920332937,0.371049309997111,0.8658676611043955,697,1926.144,0.458,2056.741,0.451,0.0243799686431884,LSTM_CONT_ONEHOT,LSTM
Help desk log of an Italian Company,Helpdesk,Event log concerning the ticketing management process of the Help desk of an Italian software company,10.4121/uuid:0c60edf1-6f83-4e75-9367-4c63b3e9d5bb,21348,14,4580,2,15,4.661135371179039,4.245196506550219,3893,4.934497816593886,0.7091836734693877,0.6081536850550617,0.5688944619382772,1521,3724.970412871231,0.7991204049147201,54068.289744242174,0.2540658716935953,0.9070453643798828,CNN_PREPAD_ONEHOT,CNN
Data-driven Process Discovery - Artificial Event Log (Round 3 Seed 1),PD_3_1,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,126,8,64,1,8,1.96875,1.75,53,12.5,0.875,0.1962632275132275,0.6183387331931034,19,27.413,0.527,209.285,0.343,0.0286810398101806,DT_PREPAD_ONEHOT,DT
Data-driven Process Discovery - Artificial Event Log (Round 3 Seed 4),PD_3_4,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,884,8,64,3,77,13.8125,5.03125,273,51.5625,0.75,0.3489605150691454,0.7548818408253514,762,2098.038,0.487,2820.079,0.47,0.0298953056335449,LSTM_CONT_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 3 Seed 6),PD_3_6,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,384,8,64,6,6,6.0,6.0,91,9.375,0.8125,0.5127314814814814,0.6655227959935087,36,19.298,0.579,351.873,0.154,0.0057458877563476,LSTM_PREPAD_ONEHOT,LSTM
