name,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
PD_4_7,55.02185;10.36291,105.78785;24.87554,147.97995;45.93391,23.92371;3.37274,32.81131;9.28133,110.58831;27.57221,40.92007;0.40488,62.4326;20.58739,86.01824;12.23779,36.758;8.68276,36.43836;8.36541,92.01988;9.36893,0.07913;0.00292,0.30051;0.00824,0.01286;0.00049,0.02288;0.00124,0.08395;0.00372,0.0109;0.00088
PD_4_8,1042.9317;210.56779,1690.2619;488.12845,249.09143;46.81103,49.06005;16.5064,52.27454;6.97637,215.74034;63.07189,390.6269;71.34653,537.98109;123.67059,161.81386;37.80923,73.46424;17.87609,77.61374;27.42102,211.81668;78.39334,0.52944;0.02409,1.72652;0.06392,0.03482;0.00193,0.01738;0.00094,0.06342;0.00362,0.01088;0.00056
Running,9.84406;3.90734,7.50466;0.59114,7.05594;0.83578,9.53731;2.07031,8.06891;1.07576,7.40827;0.26933,3.94628;0.63464,3.46495;0.39634,4.54219;0.92161,5.15476;0.52773,4.53398;0.73701,4.1101;1.05195,0.01771;0.03685,0.00139;0.0001,0.0011;7e-05,0.00109;0.0001,0.00127;0.00014,0.00108;0.00011
L1_lin,15.97339;1.45561,8.99491;0.98675,9.20199;1.27589,12.77409;1.38564,13.03211;0.32482,10.72162;2.02178,4.77193;0.45417,5.3594;0.69128,5.47685;0.5867,4.6867;0.28305,6.11663;0.93456,6.90662;0.17618,0.00486;0.00459,0.00295;0.00043,0.00336;0.0006,0.00318;0.00062,0.00312;0.00077,0.00225;0.00037
L1_pll,26.69051;6.89447,13.10019;1.83522,10.15649;2.28039,16.13612;2.73504,10.13581;1.04428,6.32053;0.28264,3.29233;0.66834,2.61001;0.02762,2.70467;0.03836,3.61207;0.94246,2.70783;0.18177,2.65976;0.04589,0.00119;0.00032,0.00129;0.00021,0.0011;0.00018,0.00122;0.00016,0.00127;0.00012,0.00114;0.00024
Bpi_2012,10020.36053;9184.89983,11938.28422;7944.29386,1548.80046;334.04564,726.87471;234.47307,861.29792;270.01237,3251.41647;4041.92514,4831.01569;1505.26954,4714.09387;778.31355,2184.09789;517.1277,732.13118;169.71843,824.94677;144.70005,2151.91562;638.72117,34.54806;3.7467,69.9983;1.31747,0.9644;0.03581,1.37759;0.04308,4.94073;0.32382,0.63543;0.0406
Nasa_log,1730.86807;454.98819,1355.28185;121.46191,3313.33064;604.38199,325.02601;26.71739,308.03211;45.58212,1308.82431;428.05427,869.33988;40.90802,1062.88099;123.86216,1424.9298;171.33352,593.04085;25.1895,706.31385;137.73687,1465.78592;291.65286,4.23695;0.27094,24.11506;1.29448,0.28554;0.00295,0.50102;0.01187,4.46777;0.06488,0.21949;0.00165
Pdc_2021_2,233.68511;85.29518,501.10229;117.81513,525.20628;257.5398,77.16572;4.94141,110.26206;15.48405,467.10413;130.43296,145.35855;28.34852,190.79067;37.07807,272.81903;72.00106,80.12892;20.99261,64.98693;16.48123,273.72206;83.28806,1.16933;0.02764,9.03512;0.39873,0.08783;0.00361,0.16333;0.00628,1.28614;0.09001,0.06276;0.00171
Ccc19_log,33.09347;17.25909,18.44286;1.5716,23.78713;7.74123,11.53325;0.10266,12.18909;0.54402,13.9481;3.07449,34.08262;13.73558,14.96136;0.45347,10.01044;0.19705,12.11938;3.92785,6.17143;0.23555,10.22166;0.13014,0.08785;0.03396,0.4427;0.01937,0.00629;0.00016,0.00879;0.0003,0.04724;0.00639,0.00451;0.00017
Pdc_2020_0,207.12529;18.8754,238.48006;25.02719,327.12151;42.27454,132.96152;57.79455,70.08863;2.73988,333.60075;47.57473,353.3658;26.11494,470.08134;79.00648,456.87417;90.98125,290.61723;55.88612,181.83466;71.28592,549.88289;33.56565,0.21948;0.02096,1.06888;0.05119,0.0334;0.00108,0.06805;0.00129,0.25881;0.00358,0.03154;0.0008
Pdc_2020_1,221.63918;53.95987,356.55902;24.12507,388.94697;50.68913,98.14798;15.98649,111.11746;20.60894,444.97198;183.05608,256.88043;13.37641,390.46451;180.30846,401.89776;29.76029,304.48902;79.7843,219.83422;64.35556,524.20141;226.17861,0.28114;0.00233,1.40482;0.02883,0.04431;0.00213,0.0755;0.00192,0.27588;0.00224,0.03502;0.00059
Traffic_fine,2682.88491;939.53743,2649.61124;116.83034,2051.65465;435.06057,1034.88503;217.20549,952.14642;214.58077,2162.95372;728.28191,4076.40004;2518.65854,3342.54619;474.80547,3966.60772;2855.45031,1809.57016;315.07035,1944.76405;665.49816,3133.30204;559.65902,3.10024;0.05912,4.91198;0.12294,0.44405;0.00981,0.86392;0.00741,1.52716;0.01741,0.44898;0.00598
