Ccc19_log,Precision,0.24204;0.24441,0.00135;0.0,0.09037;0.0616,0.58558;0.04461,0.63535;0.04262,0.01362;0.01496,0.24813;0.12333,0.00052;0.00059,0.01508;0.00778,0.38235;0.27025,0.00237;0.00142,0.00087;0.0,0.49754;0.04532,0.44782;0.06671,0.4727;0.03507,0.53174;0.04471,0.49509;0.06959,0.50857;0.08981
Ccc19_log,Recall,0.23529;0.22375,0.03676;0.0,0.1201;0.05923,0.53922;0.02426,0.53431;0.00693,0.06618;0.02617,0.25735;0.12536,0.01716;0.01511,0.05882;0.01201,0.33578;0.22706,0.04657;0.01386,0.02941;0.0,0.4695;0.03039,0.41388;0.05752,0.42696;0.04015,0.48801;0.02448,0.45855;0.06516,0.43801;0.04216
Ccc19_log,F1,0.20403;0.22937,0.00261;0.0,0.07408;0.04433,0.52751;0.02985,0.52637;0.01736,0.01846;0.01807,0.22436;0.12232,0.00101;0.00114,0.02009;0.00859,0.32582;0.23026,0.0045;0.00263,0.00168;1e-05,0.46108;0.03259,0.40171;0.05678,0.42226;0.03849,0.48656;0.03168,0.46051;0.06331,0.44426;0.05603
Ccc19_log,Time,33.09347;17.25909,18.44286;1.5716,23.78713;7.74123,11.53325;0.10266,12.18909;0.54402,13.9481;3.07449,34.08262;13.73558,14.96136;0.45347,10.01044;0.19705,12.11938;3.92785,6.17143;0.23555,10.22166;0.13014,0.08785;0.03396,0.4427;0.01937,0.00629;0.00016,0.00879;0.0003,0.04724;0.00639,0.00451;0.00017
Flyer,Accuracy,0.89806;0.00507,0.90145;0.00378,0.90145;0.00378,0.89299;0.0,0.89299;0.0,0.86993;0.03609,0.90145;0.00378,0.90314;0.0,0.89314;0.02235,0.89299;0.0,0.88592;0.01581,0.87638;0.02348,0.88856;0.00739,0.88855;0.00705,0.88855;0.00604,0.88486;0.00973,0.88486;0.00878,0.88487;0.00968
Flyer,Precision,0.90944;0.01645,0.92041;0.01226,0.92041;0.01226,0.89299;0.0,0.89299;0.0,0.83961;0.07607,0.92041;0.01226,0.92589;0.0,0.92549;0.0009,0.89299;0.0,0.86901;0.05361,0.90315;0.01437,0.91623;0.0042,0.91622;0.00399,0.9162;0.00344,0.88575;0.00789,0.88527;0.0091,0.8855;0.00874
Flyer,Recall,0.89806;0.00507,0.90145;0.00378,0.90145;0.00378,0.89299;0.0,0.89299;0.0,0.86993;0.03609,0.90145;0.00378,0.90314;0.0,0.89314;0.02235,0.89299;0.0,0.88592;0.01581,0.87638;0.02348,0.88856;0.00739,0.88855;0.00705,0.88855;0.00604,0.88486;0.00973,0.88486;0.00878,0.88487;0.00968
Flyer,F1,0.88968;0.00331,0.88747;0.00247,0.88747;0.00247,0.89299;0.0,0.89299;0.0,0.85114;0.06062,0.88747;0.00247,0.88636;0.0,0.87934;0.0157,0.89299;0.0,0.87585;0.03833,0.87673;0.02299,0.86909;0.01088,0.86911;0.01042,0.86917;0.00885,0.88497;0.00889,0.885;0.00891,0.88502;0.00923
Helpdesk,Accuracy,0.80072;0.00334,0.79654;0.0037,0.78629;0.00286,0.80018;0.00136,0.78748;0.00791,0.78855;0.0017,0.80203;0.00222,0.79696;0.00708,0.79451;0.0021,0.79738;0.00531,0.79672;0.00498,0.79261;0.00086,0.78694;0.0048,0.78754;0.00388,0.77345;0.00708,0.78955;0.00562,0.78947;0.00462,0.7815;0.00473
Helpdesk,Precision,0.73484;0.00191,0.7246;0.00293,0.70985;0.01241,0.74758;0.01592,0.72426;0.00813,0.71768;0.00597,0.72957;0.00355,0.72395;0.01185,0.72569;0.0041,0.72575;0.00844,0.72556;0.00748,0.72339;0.00269,0.75802;0.02336,0.76173;0.01502,0.77073;0.0351,0.77372;0.04268,0.77845;0.03179,0.76761;0.03902
Helpdesk,Recall,0.80072;0.00334,0.79654;0.0037,0.78629;0.00286,0.80018;0.00136,0.78748;0.00791,0.78855;0.0017,0.80203;0.00222,0.79696;0.00708,0.79451;0.0021,0.79738;0.00531,0.79672;0.00498,0.79261;0.00086,0.78694;0.0048,0.78754;0.00388,0.77345;0.00708,0.78955;0.00562,0.78947;0.00462,0.7815;0.00473
Helpdesk,F1,0.75379;0.00275,0.74938;0.00311,0.73713;0.00471,0.75482;0.00134,0.74066;0.00737,0.74131;0.00139,0.75456;0.00151,0.74929;0.00777,0.74711;0.0024,0.75036;0.00642,0.74912;0.00569,0.74553;0.00104,0.74925;0.00395,0.74888;0.00271,0.73855;0.00717,0.74883;0.00441,0.74891;0.0043,0.74297;0.00426
Helpdesk,Time,266.22123;88.10267,379.93837;147.65874,218.4713;92.1857,91.76935;8.55281,92.84023;27.82273,231.9606;60.05843,325.77072;105.92066,459.89663;144.83008,511.30397;35.65049,318.60242;106.8159,310.15735;56.52458,401.05461;78.71721,0.07308;0.03482,0.16706;0.01027,0.02311;0.0017,0.02583;0.00056,0.06685;0.00476,0.01864;0.00163
L1_lin,Accuracy,0.64394;0.02835,0.39394;0.22677,0.21212;0.02143,0.62879;0.01071,0.63636;0.03214,0.14394;0.02835,0.09091;0.0,0.13636;0.03214,0.13636;0.03214,0.11364;0.03214,0.11364;0.03214,0.11364;0.03214,0.70382;0.05729,0.69828;0.03919,0.71511;0.02396,0.71511;0.03115,0.69828;0.05931,0.71531;0.04571
L1_lin,Precision,0.55237;0.03302,0.3151;0.23009,0.06472;0.00258,0.55356;0.03382,0.53267;0.03811,0.0591;0.01914,0.01653;0.01169,0.01963;0.00804,0.02096;0.00912,0.02319;0.0211,0.01395;0.00804,0.01395;0.00804,0.60134;0.04597,0.58221;0.07668,0.6138;0.04628,0.61448;0.04145,0.61775;0.06747,0.60079;0.07089
L1_lin,Recall,0.64394;0.02835,0.39394;0.22677,0.21212;0.02143,0.62879;0.01071,0.63636;0.03214,0.14394;0.02835,0.09091;0.0,0.13636;0.03214,0.13636;0.03214,0.11364;0.03214,0.11364;0.03214,0.11364;0.03214,0.70382;0.05729,0.69828;0.03919,0.71511;0.02396,0.71511;0.03115,0.69828;0.05931,0.71531;0.04571
L1_lin,F1,0.56431;0.03335,0.32015;0.23178,0.09706;0.00369,0.54259;0.00476,0.55572;0.02809,0.07967;0.02122,0.02626;0.01571,0.03417;0.01344,0.03611;0.01501,0.03662;0.03036,0.02466;0.01344,0.02466;0.01344,0.63492;0.05335,0.61672;0.05219,0.63623;0.02887,0.64325;0.03103,0.63056;0.05686,0.63674;0.05932
L1_lin,Time,15.97339;1.45561,8.99491;0.98675,9.20199;1.27589,12.77409;1.38564,13.03211;0.32482,10.72162;2.02178,4.77193;0.45417,5.3594;0.69128,5.47685;0.5867,4.6867;0.28305,6.11663;0.93456,6.90662;0.17618,0.00486;0.00459,0.00295;0.00043,0.00336;0.0006,0.00318;0.00062,0.00312;0.00077,0.00225;0.00037
L1_pll,Accuracy,0.85606;0.05357,0.63636;0.25713,0.18939;0.05669,0.81818;0.0,0.68182;0.19285,0.11364;0.0,0.10606;0.05357,0.14394;0.05357,0.10606;0.05357,0.12879;0.08571,0.09091;0.03214,0.06818;0.0,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447
L1_pll,Precision,0.80647;0.05357,0.61019;0.22401,0.06693;0.03821,0.7686;0.0,0.65095;0.16638,0.01402;0.00084,0.01412;0.01339,0.02359;0.01339,0.02249;0.02524,0.0656;0.0862,0.0093;0.00657,0.00489;0.00035,0.82785;0.01896,0.82785;0.01896,0.82785;0.01896,0.82785;0.01896,0.82785;0.01896,0.82785;0.01896
L1_pll,Recall,0.85606;0.05357,0.63636;0.25713,0.18939;0.05669,0.81818;0.0,0.68182;0.19285,0.11364;0.0,0.10606;0.05357,0.14394;0.05357,0.10606;0.05357,0.12879;0.08571,0.09091;0.03214,0.06818;0.0,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447,0.88937;0.01447
L1_pll,F1,0.82052;0.0584,0.59509;0.26039,0.08735;0.04223,0.77922;0.0,0.63518;0.2037,0.02496;0.00134,0.02445;0.02227,0.0402;0.02227,0.03519;0.03745,0.06991;0.08655,0.01671;0.01132,0.00913;0.0006,0.84986;0.01813,0.84986;0.01813,0.84986;0.01813,0.84986;0.01813,0.84986;0.01813,0.84986;0.01813
L1_pll,Time,26.69051;6.89447,13.10019;1.83522,10.15649;2.28039,16.13612;2.73504,10.13581;1.04428,6.32053;0.28264,3.29233;0.66834,2.61001;0.02762,2.70467;0.03836,3.61207;0.94246,2.70783;0.18177,2.65976;0.04589,0.00119;0.00032,0.00129;0.00021,0.0011;0.00018,0.00122;0.00016,0.00127;0.00012,0.00114;0.00024
L2,Accuracy,0.60714;0.20927,0.54762;0.12141,0.39286;0.05455,0.65476;0.11964,0.63095;0.11964,0.2381;0.12822,0.39286;0.03571,0.40476;0.05324,0.45238;0.20062,0.39286;0.03571,0.39286;0.07986,0.46429;0.05455,0.58565;0.07792,0.625;0.17403,0.5625;0.11669,0.58333;0.10995,0.56713;0.13088,0.49074;0.10352
L2,Precision,0.60422;0.28172,0.43812;0.21498,0.22402;0.13369,0.61682;0.21446,0.63091;0.21188,0.13095;0.08938,0.22775;0.07567,0.21749;0.15299,0.3263;0.23708,0.15797;0.03078,0.18467;0.11846,0.29827;0.16284,0.60185;0.124,0.70525;0.08079,0.62886;0.17622,0.62052;0.13698,0.62901;0.09753,0.54861;0.15256
L2,Recall,0.60714;0.20927,0.54762;0.12141,0.39286;0.05455,0.65476;0.11964,0.63095;0.11964,0.2381;0.12822,0.39286;0.03571,0.40476;0.05324,0.45238;0.20062,0.39286;0.03571,0.39286;0.07986,0.46429;0.05455,0.58565;0.07792,0.625;0.17403,0.5625;0.11669,0.58333;0.10995,0.56713;0.13088,0.49074;0.10352
L2,F1,0.56748;0.25014,0.45086;0.16062,0.26239;0.09926,0.60412;0.17247,0.56793;0.17196,0.16261;0.10493,0.25532;0.02178,0.24465;0.07188,0.35133;0.21026,0.22481;0.03712,0.24397;0.1156,0.31892;0.09253,0.57348;0.08473,0.63117;0.13464,0.56382;0.10183,0.55487;0.10986,0.55187;0.10443,0.48534;0.10941
L4,Accuracy,0.81638;0.03158,0.81638;0.03158,0.67797;0.12493,0.83051;0.0,0.81638;0.03158,0.73164;0.05824,0.76554;0.11175,0.55367;0.21543,0.75706;0.11482,0.66949;0.11147,0.57627;0.18411,0.68644;0.11773,0.7531;0.07378,0.78729;0.01086,0.75363;0.05379,0.736;0.06942,0.73173;0.08257,0.75737;0.06433
L4,Precision,0.72957;0.01793,0.72957;0.01793,0.52051;0.18488,0.72155;0.0,0.72957;0.01793,0.6857;0.10314,0.65532;0.17051,0.36357;0.26393,0.6247;0.16359,0.53588;0.19543,0.46572;0.25588,0.59711;0.22765,0.66751;0.01761,0.66409;0.01411,0.67948;0.03538,0.66452;0.01482,0.66302;0.01905,0.66537;0.01507
L4,Recall,0.81638;0.03158,0.81638;0.03158,0.67797;0.12493,0.83051;0.0,0.81638;0.03158,0.73164;0.05824,0.76554;0.11175,0.55367;0.21543,0.75706;0.11482,0.66949;0.11147,0.57627;0.18411,0.68644;0.11773,0.7531;0.07378,0.78729;0.01086,0.75363;0.05379,0.736;0.06942,0.73173;0.08257,0.75737;0.06433
