name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
PD_3_6,Recall,77.34,76.3,14.84,77.08,76.04,10.94,23.44,23.44,10.94,31.51,21.35,10.94,69.92,72.67,0.0,69.56,72.65,0.0
PD_3_6,F1,75.27,73.59,4.04,74.38,73.65,2.16,8.9,8.9,2.16,18.73,7.78,2.16,69.7,70.89,0.0,71.64,71.08,0.0
PD_3_6,Time,11,11,9,11,9,8,3,3,33,3,3,36,,,,,,
PD_3_10,Accuracy,91.48,92.59,13.7,91.85,92.22,13.52,20.0,20.0,11.11,21.85,20.0,11.11,90.23,91.34,0.0,91.62,90.23,0.0
PD_3_10,Precision,94.76,95.05,1.91,94.86,94.95,1.87,4.0,4.0,1.23,5.93,4.0,1.23,95.71,94.63,0.0,94.8,95.6,0.0
PD_3_10,Recall,91.48,92.59,13.7,91.85,92.22,13.52,20.0,20.0,11.11,21.85,20.0,11.11,90.23,91.34,0.0,91.62,90.23,0.0
PD_3_10,F1,90.97,92.05,3.34,91.33,91.69,3.27,6.67,6.67,2.22,8.63,6.67,2.22,90.36,90.4,0.0,90.6,90.21,0.0
PD_3_10,Time,14,14,12,16,12,15,3,4,57,3,4,60,0,0,0,0,0,0
PD_4_1,Accuracy,77.74,66.44,6.51,71.8,71.58,7.31,12.9,7.88,6.85,19.63,7.88,6.85,69.64,68.77,0.0,66.9,66.55,0.0
PD_4_1,Precision,79.21,67.64,0.43,72.58,73.45,0.54,4.85,1.32,0.47,13.0,1.2,0.47,78.66,75.67,0.0,74.12,73.41,0.0
