Running,F1,18.79,12.27,3.0,25.57,19.76,20.04,9.02,1.11,12.18,3.75,2.56,7.5,42.78,48.33,28.33,40.83,45.0,38.61
L1_lin,F1,56.43,32.02,9.71,54.26,55.57,7.97,2.63,3.42,3.61,3.66,2.47,2.47,63.49,61.67,63.62,64.33,63.06,63.67
L1_pll,F1,82.05,59.51,8.73,77.92,63.52,2.5,2.44,4.02,3.52,6.99,1.67,0.91,84.99,84.99,84.99,84.99,84.99,84.99
Bpi_2012,F1,72.21,72.39,64.74,71.4,71.29,68.27,72.93,72.84,69.0,71.54,71.29,69.37,70.58,70.38,66.47,70.97,70.92,68.59
Nasa_log,F1,74.18,73.33,60.6,71.5,71.19,58.36,73.87,72.89,70.62,71.73,70.93,61.96,72.05,71.24,69.52,70.51,70.46,59.08
Pdc_2021_2,F1,75.02,72.76,62.82,74.24,72.16,67.98,75.32,70.85,75.46,74.11,44.84,75.23,73.78,73.73,73.34,70.98,71.05,70.78
Ccc19_log,F1,20.4,0.26,7.41,52.75,52.64,1.85,22.44,0.1,2.01,32.58,0.45,0.17,46.11,40.17,42.23,48.66,46.05,44.43
Pdc_2020_0,F1,55.2,49.8,51.8,50.33,35.99,49.36,53.9,52.69,53.36,50.13,30.56,50.56,49.34,49.2,47.8,43.17,43.53,44.32
Pdc_2020_1,F1,51.95,50.57,47.34,47.95,47.49,48.39,50.21,43.98,49.88,47.3,38.74,48.65,47.43,46.52,46.76,42.75,43.04,42.41
Traffic_fine,F1,75.62,75.59,75.44,75.69,75.64,75.52,75.78,75.77,75.77,75.74,75.73,75.73,75.24,75.25,75.22,75.18,75.17,75.18
